"","row","col","geo","dep","sal","env","nut","enz","bac.repl","bac.rich","bac.sor","bac.repl.wt","bac.rich.wt","bac.sor.wt","fun.repl","fun.rich","fun.sor","fun.repl.wt","fun.rich.wt","fun.sor.wt"
"22","Site23","Site1",0.206757905278401,65,6.92533730318173,4.97014854144026,4.70103645289529,0.976478630278947,0.382489055659787,0.0694183864915572,0.451907442151345,0.539173440735553,0.0141401009241327,0.553313541659686,0.357870894677237,0.209513023782559,0.567383918459796,0.440516821848582,0.165363009658987,0.605879831507569
"23","Site24","Site1",0.206757905278401,85,6.34173348022439,6.45170493749198,4.44714448072385,0.989935011069741,0.387421383647799,0.0754716981132075,0.462893081761006,0.584134994480366,0.0376295057013364,0.621764500181702,0.446866485013624,0.164032697547684,0.610899182561308,0.607929978452703,0.136220957731944,0.744150936184647
"24","Site25","Site1",0.426091398881457,0,5.0004294801624,0.763983946065075,1.37628651102286,4.33043845481948,0.261415025528811,0.2472647702407,0.508679795769511,0.363720797848834,0.133489128073763,0.497209925922597,0.427845528455285,0.0853658536585366,0.513211382113821,0.41631405034846,0.0198395810348894,0.436153631383349
"25","Site26","Site1",0.426091398881457,10,3.08612122166961,1.71090417350711,1.88412999169069,2.1633751649062,0.311835019046368,0.12307894391173,0.434913962958098,0.300750806581858,0.136771494138901,0.437522300720759,0.393633952254642,0.13315649867374,0.526790450928382,0.485755135974259,0.113230544362997,0.598985680337256
"26","Site27","Site1",0.426091398881457,25,4.49852078032659,4.53608450843043,2.9701299968067,1.19277421238286,0.449305135951662,0.0332326283987915,0.482537764350453,0.517769030879951,0.00702376634913875,0.524792797229089,0.423296931877275,0.110764430577223,0.534061362454498,0.468599133302541,0.0637784596556157,0.532377592958157
"27","Site28","Site1",0.426091398881457,45,5.89413943858984,5.18144531655175,4.36299437366394,1.7254930988617,0.396525293817067,0.0922330097087379,0.488758303525805,0.43160466708606,0.0519434027186437,0.483548069804704,0.447261663286004,0.0831643002028398,0.530425963488844,0.295738103485461,0.212258262693864,0.507996366179325
"28","Site29","Site1",0.426091398881457,65,6.29066523182496,5.02260666502278,4.28551083839084,1.56120424868213,0.397711015736767,0.11197815060476,0.509689166341527,0.543427443485966,0.000710868350487854,0.544138311836454,0.528522671867382,0.0414431984397855,0.569965870307167,0.281484739858351,0.358643038441686,0.640127778300038
"29","Site30","Site1",0.426091398881457,85,6.85919889839405,5.13145460465093,4.66167262881319,1.80575860233771,0.397349272349272,0.110966735966736,0.508316008316008,0.516675140320338,0.0190674042673544,0.535742544587692,0.522593320235756,0.0491159135559921,0.571709233791749,0.298446129750227,0.254822355947572,0.553268485697799
"30","Site31","Site1",0.524370886701924,0,5.20510254488826,2.5961971263484,1.8588393201292,5.03464025950136,0.447598529970853,0.0835128627550374,0.53111139272589,0.488811121798171,0.0742103899514823,0.563021511749653,0.346305696559504,0.204737732656514,0.551043429216018,0.320741943825415,0.0505931541038477,0.371335097929263
"31","Site32","Site1",0.524370886701924,10,6.0424525684092,3.53805694315213,1.76723120417199,5.52748420236553,0.401442817738171,0.0929344366645449,0.494377254402716,0.371416274662297,0.142646803434034,0.514063078096331,0.403166226912929,0.127176781002639,0.530343007915567,0.656429409546159,0.0529533168503541,0.709382726396513
